,municipio,uf,acidentes,com_vitimas,feridos_leves,feridos_graves,mortos,pct_com_vitimas
5,BRASILIA,DF,8831,3739,2970,636,133,42.34
18,VALPARAISO DE GOIAS,GO,1546,626,506,96,24,40.49
12,LUZIANIA,GO,1321,605,321,176,108,45.8
11,FORMOSA,GO,1008,443,270,56,117,43.95
1,AGUAS LINDAS DE GOIAS,GO,920,430,333,72,25,46.74
9,CRISTALINA,GO,892,392,232,89,71,43.95
0,ABADIANIA,GO,869,266,190,53,23,30.61
2,ALEXANIA,GO,764,314,191,65,58,41.1
7,COCALZINHO DE GOIAS,GO,382,180,106,62,12,47.12
10,FLORES DE GOIAS,GO,377,167,53,25,89,44.3
14,PADRE BERNARDO,GO,281,142,66,43,33,50.53
16,SANTO ANTONIO DO DESCOBERTO,GO,281,144,105,39,0,51.25
20,VILA PROPICIO,GO,209,101,43,27,31,48.33
19,VILA BOA,GO,201,117,68,27,22,58.21
3,ALVORADA DO NORTE,GO,188,118,78,26,14,62.77
8,CORUMBA DE GOIAS,GO,172,98,59,32,7,56.98
4,BARRO ALTO,GO,160,95,47,12,36,59.38
13,NIQUELANDIA,GO,100,88,14,62,12,88.0
15,PIRENOPOLIS,GO,78,44,38,3,3,56.41
17,SIMOLANDIA,GO,45,11,7,1,3,24.44
6,CIDADE OCIDENTAL,GO,27,9,9,0,0,33.33
